taxa_id,Kingdom,Phylum,Class,Orders,Family,Genus,Species,common_name,RecordsWithDenominators,NeoplasiaWithDenominators,NeoplasiaPrevalence,-,MalignancyKnown,Malignant,MalignancyPrevalence,PropMalignant,Benign,BenignPrevalence,PropBenign,--,Male,MaleNeoplasia,MaleMalignant,Female,FemaleNeoplasia,FemaleMalignant,---,RecordsFromAllSources,NeoplasiaFromAllSources,Necropsies,#Sources
893,Animalia,Chordata,Aves,Galliformes,Odontophoridae,Callipepla,Callipepla gambelii,NA,25,1,0.04,-,1,0,0,0,1,0.04,1,-,9,1,0,6,0,0,-,25,1,25,6
957,Animalia,Chordata,Mammalia,Carnivora,Felidae,Caracal,Caracal caracal,NA,10,0,0,-,0,0,0,NA,0,0,NA,-,7,0,0,2,0,0,-,10,0,10,8
70,Animalia,Chordata,Mammalia,Rodentia,Muridae,Acomys,Acomys cahirinus,Arabian Spiny Mouse,16,4,0.25,-,9,3,0.1875,0.888888889,1,0.0625,0.111111111,-,5,0,0,3,3,2,-,21,9,16,6
3147,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Papio,Papio hamadryas,NA,20,3,0.15,-,3,3,0.15,1,0,0,0,-,4,2,2,4,1,1,-,20,3,20,4
4412,Animalia,Chordata,Reptilia,Squamata,Gekkonidae,Uroplatus,Uroplatus henkeli,NA,19,0,0,-,0,0,0,NA,0,0,NA,-,9,0,0,10,0,0,-,19,0,19,8
320,Animalia,Chordata,Amphibia,Anura,Bufonidae,Anaxyrus,Anaxyrus houstonensis,NA,18,0,0,-,0,0,0,NA,0,0,NA,-,4,0,0,6,0,0,-,18,0,18,3
19661,Animalia,Acanthopterygii,Perciformes,Cichliformes,Cichlidae,Geophagus,Geophagus brasiliensis,Brazilian Eartheater,10,0,0,-,0,0,0,NA,0,0,NA,-,0,0,0,0,0,0,-,10,0,10,1
17806,Animalia,Chordata,Aves,Passeriformes,Cardinalidae,Cyanocompsa,Cyanocompsa brissonii,Ultramarine grosbeak,13,0,0,-,0,0,0,NA,0,0,NA,-,2,0,0,0,0,0,-,13,0,13,1
1469,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Cossypha,Cossypha albicapilla,White crowned robin chat,12,0,0,-,0,0,0,NA,0,0,NA,-,1,0,0,0,0,0,-,12,0,12,2
785,Animalia,Chordata,Actinopterygii,Siluriformes,Callichthyidae,Brochis,Brochis splendens,Brocks Catfish,11,0,0,-,0,0,0,NA,0,0,NA,-,0,0,0,0,0,0,-,11,0,11,1
1723,Animalia,Chordata,Mammalia,Chiroptera,Pteropodidae,Eidolon,Eidolon helvum,NA,31,1,0.032258065,-,1,1,0.032258065,1,0,0,0,-,18,1,1,11,0,0,-,31,1,31,7
1404,Animalia,Chordata,Mammalia,Carnivora,Mephitidae,Conepatus,Conepatus semistriatus,NA,11,3,0.272727273,-,3,2,0.181818182,0.666666667,1,0.090909091,0.333333333,-,5,0,0,4,2,1,-,11,3,11,6
716,Animalia,Chordata,Amphibia,Anura,Bombinatoridae,Bombina,Bombina orientalis,Oriental fire-bellied toad,18,0,0,-,0,0,0,NA,0,0,NA,-,5,0,0,4,0,0,-,18,0,18,9
347,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Anodorhynchus,Anodorhynchus hyacinthinus,Hyacinth Macaw,31,3,0.096774194,-,3,1,0.032258065,0.333333333,2,0.064516129,0.666666667,-,10,1,0,4,1,1,-,31,3,31,11
2682,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Macaca,Macaca fuscata,NA,10,2,0.2,-,2,1,0.1,0.5,1,0.1,0.5,-,3,1,0,6,1,1,-,10,2,10,3
3038,Animalia,Chordata,Actinopterygii,Salmoniformes,Salmonidae,Oncorhynchus,Oncorhynchus mykiss,Rainbow Trout,16,0,0,-,0,0,0,NA,0,0,NA,-,1,0,0,3,0,0,-,16,0,16,5
3148,Animalia,Chordata,Mammalia,Primates,Cercopithecidae,Papio,Papio papio,NA,19,4,0.210526316,-,4,3,0.157894737,0.75,1,0.052631579,0.25,-,6,1,1,11,3,2,-,19,4,19,3
1196,Animalia,Chordata,Reptilia,Testudines,Chelidae,Chelodina,Chelodina mccordi,McCords snake-necked turtle,96,0,0,-,0,0,0,NA,0,0,NA,-,0,0,0,1,0,0,-,96,0,96,6
1625,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Dacelo,Dacelo leachii,NA,19,1,0.052631579,-,1,1,0.052631579,1,0,0,0,-,8,0,0,8,1,1,-,19,1,19,12
19488,Animalia,Arthropoda,Insecta,Orthoptera,Anostostomatidae,Deinacrida,Deinacrida fallai,Poor Knights Weta,92,0,0,-,0,0,0,NA,0,0,NA,-,19,0,0,1,0,0,-,92,0,92,1
863,Animalia,Chordata,Aves,Passeriformes,Icteridae,Cacicus,Cacicus haemorrhous,NA,10,0,0,-,0,0,0,NA,0,0,NA,-,2,0,0,5,0,0,-,10,0,10,5
